Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,Location_ratio
50,3652,4,4,2,1935,1,2,1,845016,1.5763469274408823
51,2455,1,3,3,1967,1,4,0,698843,1.3036664581659618
52,2085,2,3,2,1935,4,4,1,405446,0.7812610369420658
53,4443,5,1,1,1951,2,1,0,958840,1.7801989948344088
54,3573,5,3,1,1952,3,2,0,593118,1.0640484760343705
55,1521,5,2,1,1981,1,2,1,266897,0.49788674521333226
56,3961,4,3,1,1949,4,4,1,826522,1.5926397961144767
57,3113,3,2,2,1979,3,1,0,913498,1.63880737856623
58,4343,3,3,2,1940,1,1,0,840023,1.5670326656887825
59,2000,1,4,3,1917,3,2,1,143878,0.2581158667160213
60,661,4,4,2,1921,1,1,0,175407,0.3272154438515044
61,4797,5,1,2,1965,3,3,1,691157,1.2399295798651995
62,2481,5,3,2,1920,3,4,1,307716,0.5520397979009106
63,1495,2,2,3,1999,2,3,1,857827,1.592656504882792
64,3842,2,2,1,1943,2,2,1,66738,0.12390692974558715
65,4298,5,3,2,2002,1,2,1,183703,0.34269133319567013
66,1775,5,2,3,1946,4,1,0,723265,1.3936720645508978
67,1516,4,4,3,1938,2,1,1,593344,1.1016127741761164
68,837,3,2,3,1928,3,2,1,815034,1.4621638284729128
69,1378,2,1,1,1953,2,2,1,560241,1.0401531695225732
70,1576,3,4,2,1989,2,3,1,433800,0.8054006131984133
71,4493,4,4,3,1984,1,3,1,689604,1.2864314362697773
72,879,5,4,1,1916,2,1,1,740807,1.3753951407599745
73,992,3,3,3,1979,2,3,1,628706,1.167266477458556
74,2562,5,3,3,1959,3,1,0,873622,1.5672701852415518
75,4384,5,4,3,1930,2,1,0,76014,0.14112891242891698
76,564,1,3,3,2014,3,4,0,778359,1.3963692009981765
77,3068,3,2,3,1972,2,1,0,813277,1.5099442012451958
78,2527,3,3,1,1994,2,3,1,231350,0.42952842753216436
79,3195,5,3,2,1977,4,2,0,961995,1.8536851053730525
80,1995,4,4,2,1948,2,2,1,838212,1.5562389552564968
81,891,1,1,2,2000,3,3,0,534859,0.9595323423724577
82,4974,5,1,2,1901,3,2,0,764618,1.3717179678385216
83,4061,2,1,1,2015,1,1,1,540339,1.0079829523067951
84,2778,2,2,1,1947,1,2,1,92192,0.17198085708984187
85,3599,1,3,1,2009,4,3,0,941307,1.8138210338758434
86,700,4,1,3,1913,3,2,0,411273,0.7378201452056482
87,3604,5,4,3,1958,3,1,0,93923,0.16849703602752938
88,2954,3,1,3,1996,3,1,0,663484,1.190284461225571
89,4145,1,1,2,1998,4,3,1,576683,1.1112206275727503
90,1304,4,3,3,1957,3,3,0,414593,0.7437761960090871
91,3231,3,3,2,2002,1,3,0,433891,0.8094080404326686
92,3273,2,3,3,1957,4,4,0,802744,1.5468215492051265
93,2070,2,2,2,2010,1,4,0,458995,0.8562386486891701
94,3190,3,2,3,1950,1,1,0,645316,1.2038137666368924
95,4340,1,1,3,1983,4,4,1,997226,1.9215723396595072
96,1528,2,3,1,1901,2,4,1,450327,0.8360849283997276
97,1002,5,1,3,2014,2,2,1,816751,1.5163940899732993
98,4993,3,4,3,1940,1,4,1,715344,1.3344484796302916
99,1370,3,4,1,1982,2,2,1,929608,1.7259263560031133
100,4988,2,3,2,2022,3,3,0,777688,1.395165432899048
101,706,1,3,1,2000,4,2,1,305315,0.5883168498245558
102,1984,5,4,1,1981,1,2,1,339068,0.6325191475587741
103,1363,1,3,2,1915,3,3,0,495919,0.8896743248164597
104,3290,4,2,3,1903,2,3,1,344721,0.6400149948878981
105,1063,4,2,2,1911,3,1,1,188783,0.338675041814945
106,4691,2,3,3,1928,2,1,1,659836,1.2250629760497653
107,2257,2,4,3,1906,1,1,1,307288,0.5732347016381392
108,2178,2,1,2,1913,3,1,0,543085,0.9742897140318217
109,3742,4,3,1,2018,4,2,0,545187,1.050530430556311
110,1559,1,3,2,1911,1,2,1,699381,1.3046700777979727
111,2222,1,1,3,1998,3,1,0,285835,0.512785476325595
112,3814,2,3,2,1904,3,4,1,971600,1.7430418556088236
113,3657,5,1,2,1980,2,1,0,902987,1.676501345113406
114,3125,1,4,3,2021,1,4,0,401992,0.7499016042960313
115,3229,4,2,1,2005,1,3,0,256084,0.4777154829811162
116,2097,3,4,2,1931,1,2,0,844686,1.5757313243208757
117,3560,3,2,3,1973,1,2,0,437554,0.8162412350647418
118,3193,3,1,3,1942,2,4,0,803315,1.4914485790490626
119,4127,5,2,2,1980,4,1,0,520336,1.0026446010523886
120,1863,2,4,1,1968,1,2,0,973469,1.8159713746354487
121,2481,4,2,2,1944,2,4,0,258072,0.4791409567757974
122,2163,5,1,1,2005,4,3,0,298029,0.5742773281246009
123,2029,4,2,1,1908,4,3,0,259047,0.4991622258863852
124,2538,4,3,1,1948,2,2,1,415169,0.7708099750598709
125,3802,2,4,1,1932,1,1,0,180509,0.33673304117960634
126,2737,3,3,2,1999,4,4,1,812072,1.5647958366628782
127,1806,2,1,3,1999,1,2,0,345107,0.6437846846548948
128,4529,5,2,3,1917,1,3,1,577561,1.077419253315539
129,3175,5,3,3,1908,3,1,1,589618,1.0577695068138775
130,1782,5,3,3,1961,1,4,1,202566,0.377879580628047
131,1209,2,2,3,1956,3,2,0,650710,1.1673680175619778
132,4913,4,2,3,1928,4,4,0,958521,1.846990993599014
133,4248,4,4,2,2013,2,1,0,53212,0.09879432325844621
134,1163,1,3,1,1977,3,1,0,282131,0.5061405328991077
135,2498,5,3,3,1924,2,3,1,526657,0.977800531916175
136,3945,4,1,2,1914,4,1,0,661882,1.2753920809510721
137,4243,1,4,3,1905,1,2,0,182152,0.33979799853163917
138,1995,4,1,3,2019,4,4,0,344819,0.6644378030547254
139,3804,5,3,1,1941,2,1,0,72007,0.1336894466449473
140,4263,3,1,1,1928,4,1,0,688093,1.3258985184033802
141,2353,5,3,1,1978,1,2,0,394785,0.7364572052478873
142,1791,2,3,3,1992,4,4,0,670103,1.2912332706155423
143,4081,4,1,3,1903,1,4,0,883247,1.647665481625646
144,3957,4,1,3,1981,3,3,1,919914,1.6503176261429966
145,2136,2,2,1,2013,2,3,1,837071,1.5541205548423442
146,4196,2,2,2,1956,1,4,0,375737,0.7009238469755067
147,3499,3,2,3,1948,1,2,0,562164,1.0486967041072313
148,3652,4,3,3,1943,4,2,0,128038,0.2467186768348639
149,1198,4,1,3,2002,3,3,0,406043,0.728437571199026
150,2660,3,4,2,1979,1,1,1,840168,1.5673031579687855
151,4597,1,3,3,1974,3,2,1,827794,1.485055156259624
152,1354,3,4,2,1913,3,1,0,66473,0.11925197742680664
153,3974,5,1,3,1902,4,2,1,703059,1.3547367673412782
154,2207,4,3,2,2014,1,4,1,175801,0.3279504366675123
155,3277,2,4,3,2013,4,3,0,944030,1.819068030525442
156,2233,5,4,1,1961,2,1,0,660911,1.2270588397177882
157,4010,4,2,1,2005,2,1,0,558252,1.0364603575823896
158,702,3,2,1,1963,1,4,1,275097,0.513183550013496
159,3755,5,2,1,2001,3,2,1,348964,0.6260383471600222
160,4718,4,3,3,1944,1,1,0,265933,0.496088437917313
161,4996,1,1,1,2005,1,2,0,369733,0.6897236011193868
162,1266,1,1,2,1981,2,4,1,771167,1.4317620439796697
163,4889,2,2,1,1957,2,3,1,330558,0.6137197231388684
164,2827,4,2,1,1919,3,1,0,439522,0.7884986027798491
165,3431,1,2,1,1957,3,2,1,74220,0.13315002729856618
166,697,3,4,3,2011,1,1,0,634819,1.1842319910286827
167,2430,4,2,1,1988,4,2,0,422146,0.8134405610141556
168,4082,3,4,2,1956,1,2,1,557409,1.0398264227871363
169,1108,3,1,1,2001,3,2,1,747785,1.3415197138703625
170,3772,1,3,1,1976,4,4,1,59387,0.11443385605204753
171,1647,4,3,1,1967,2,3,0,295752,0.5490982991117038
172,4782,5,3,2,2018,3,1,0,651103,1.168073056105879
173,3897,1,3,1,1977,3,3,0,601872,1.079753075050426
174,3011,1,4,2,1996,4,2,0,619071,1.1928988111875851
175,2294,4,4,2,1991,3,2,0,745169,1.3368266328758456
176,1159,4,2,1,1951,3,3,0,759687,1.36287179720245
177,3311,3,4,2,1936,3,3,1,698782,1.2536087628098447
178,1869,4,2,3,1907,3,1,0,690102,1.2380369191430223
179,2486,3,2,1,1943,3,2,0,300139,0.5384467265341465
180,646,1,3,1,1997,3,3,0,967184,1.7351195904437675
181,3719,2,4,2,2007,3,4,0,550228,0.9871041932152448
182,3411,5,4,2,1904,3,2,1,716217,1.2848869994839285
183,2234,1,2,1,2017,2,2,0,747621,1.3880461314891905
184,2343,4,2,3,1968,3,1,1,910020,1.632567877152266
185,988,5,1,2,1930,2,4,1,984499,1.8278379398184064
186,3476,2,1,2,1944,2,1,0,296509,0.550503758457465
187,2459,2,2,3,1908,1,4,0,63580,0.11860620112127024
188,2885,3,1,3,2005,1,1,1,592528,1.105339653003838
189,3419,5,1,1,1931,2,4,1,828639,1.5384655572155832
190,2302,3,2,3,1932,2,4,0,395590,0.7344592636587374
191,4561,1,2,1,1966,3,4,1,518968,0.9310240281202141
192,3869,5,4,3,1929,1,3,0,940965,1.7553363327787992
193,762,1,2,2,2013,4,2,0,828559,1.5965649272842282
194,1123,3,2,1,1975,1,4,1,533663,0.9955291146426618
195,1516,5,3,1,1928,2,3,0,478082,0.8876153433820281
196,4143,3,4,1,1902,2,3,0,655262,1.216570808219499
197,2549,5,4,3,1989,3,1,0,647689,1.1619483701290896
198,4223,3,4,2,1956,3,2,1,263165,0.4721156956888597
199,3608,2,3,1,1929,1,2,1,455427,0.8495826731370988
200,4590,3,2,1,1908,3,1,1,502201,0.9009441775716415
201,2556,2,4,1,1925,4,2,0,214340,0.4130155203360309
202,3670,3,4,1,1901,4,1,1,840078,1.6187610912235335
203,2182,5,1,2,1961,3,3,1,760731,1.3647447240213628
204,2755,5,4,3,1902,4,3,1,822411,1.5847182378234372
205,1654,5,2,2,1945,4,4,0,354960,0.6839786745286812
206,4999,4,2,1,1967,1,1,0,139460,0.2601576094427862
207,3691,1,1,2,1924,4,3,1,356256,0.6864759597500841
208,2196,5,4,1,1950,2,3,1,101048,0.18760747155941276
209,4491,2,4,3,1912,2,1,1,780806,1.4496579787667134
210,2148,5,4,3,2002,1,3,0,182850,0.3411000924036531
211,1945,4,3,3,1943,3,2,1,882184,1.5826303379460833
212,4699,2,4,1,1934,1,3,0,528193,0.9853250265625526
213,4423,4,2,2,1954,3,1,0,907158,1.6274334743211087
214,753,2,2,3,1986,3,2,0,786200,1.4104358860432866
215,3683,3,3,1,1908,3,2,1,994793,1.7846498936462212
216,3057,1,3,1,1901,3,3,1,356932,0.6403328690882757
217,598,1,4,2,1960,3,4,0,316891,0.5684996672146313
218,2700,4,1,3,2017,1,2,0,574333,1.0713975355234744
219,3461,1,3,1,1940,3,1,0,582046,1.0441854054031425
220,4933,4,3,2,1943,4,4,0,829685,1.5987346365120827
221,4277,4,4,3,1963,4,4,1,961508,1.8527466964974173
222,3369,4,4,2,1930,3,2,1,728797,1.3074554088535857
223,3734,1,3,2,2007,4,3,0,724945,1.3969092861341976
224,4291,4,1,1,1946,2,4,0,190926,0.35447652714504435
225,1456,1,3,1,1901,1,3,0,233148,0.43492920067665797
226,4567,4,4,1,1995,1,2,1,893382,1.6665719592658486
227,660,5,4,2,1981,3,1,0,722709,1.2965335903923398
228,4993,4,3,1,1976,3,4,1,801588,1.4380418227189848
229,1800,2,1,2,2009,2,1,0,726708,1.3492186925223433
230,4487,4,3,2,1968,3,3,1,215368,0.3863682980226031
231,2027,3,3,1,1957,4,3,1,544496,1.049198930488418
232,1718,4,4,3,2005,2,1,0,69455,0.12895135912792943
233,4996,2,1,3,1943,4,2,1,784184,1.5110579583800974
234,3604,2,2,3,1973,1,2,1,515139,0.9609732595062918
235,3235,1,1,2,1955,4,4,1,281897,0.543192293254484
236,1454,5,3,2,1942,1,4,1,482509,0.9001031691856398
237,3946,4,3,2,1988,4,2,0,542646,1.0456341329115697
238,1545,1,3,1,1933,1,2,0,662840,1.2365041577732427
239,2193,5,1,2,2000,3,1,0,882548,1.5832833507450146
240,3936,4,4,1,1929,4,3,0,432605,0.8335941922878075
241,1062,3,3,1,1970,1,3,0,614772,1.1468350342202822
242,2985,4,3,3,1969,4,4,1,997719,1.922522310040797
243,3854,2,1,3,2017,2,2,1,393782,0.7311024994617279
244,725,2,2,3,1954,3,1,1,708764,1.2715163830266902
245,1459,3,2,1,1966,1,4,1,218332,0.40729048605236196
246,3567,1,4,1,1912,2,1,0,150647,0.27969383627593675
247,1315,5,4,1,1902,4,2,0,639930,1.2330923855959517
248,3620,4,3,2,1925,2,2,1,786091,1.4594702015439232
249,516,2,1,1,1956,4,2,0,882441,1.7003911018981406
250,1743,1,3,3,1923,3,3,1,178824,0.32080868339583396
251,2705,3,4,3,1952,2,2,1,823202,1.5283711285988018
252,3024,2,1,1,1969,3,4,0,866037,1.5536627619451409
253,1569,3,1,1,1942,1,3,0,685167,1.2781543725016886
254,3944,4,4,3,1959,4,1,0,695115,1.339429333854531
255,3065,5,2,1,1957,4,4,0,317724,0.6122279704359667
256,1560,2,2,3,1948,3,4,0,951334,1.706684829830964
257,2827,2,1,2,1941,3,1,0,317544,0.5696711434720546
258,3920,4,3,3,1975,1,3,0,745003,1.3897762764068842
259,801,1,2,2,2012,2,4,1,801545,1.4881623663119459
260,4776,5,3,1,1999,4,4,0,932464,1.7967813014585086
261,1106,2,2,1,1965,4,4,1,177319,0.3416791035292744
262,3670,5,2,2,1910,1,3,1,562193,1.048750802563232
263,1199,2,3,1,2002,1,3,0,529389,0.9875561215065765
264,1639,5,4,2,1997,3,3,1,156960,0.2815848596710179
265,690,3,2,1,1989,3,4,0,89015,0.1596921271891925
266,2800,2,2,3,1917,2,2,1,383857,0.7126755721081219
267,1480,5,3,1,1984,1,1,1,778165,1.4516387935755466
268,3475,1,4,3,1999,2,2,1,982478,1.8240857161225235
269,1684,3,2,3,2003,1,3,0,195109,0.363968815579898
270,3827,3,2,2,1951,4,4,1,527508,1.0164644541449053
271,3894,1,4,1,1945,1,4,1,836351,1.5601826818807092
272,627,5,2,2,1943,1,2,1,983671,1.8350028383636523
273,2565,4,4,1,1921,4,2,0,138754,0.2673675259340563
274,2316,1,4,3,1952,1,1,1,271775,0.5069864786054297
275,1069,5,3,3,1958,2,4,0,355292,0.6596412970596833
276,2395,1,1,1,1993,3,2,1,777513,1.394851484438023
277,3233,1,4,1,2013,3,1,1,726894,1.3040414435888434
278,4363,2,3,2,2006,2,3,1,796355,1.4785265221844683
279,4514,5,1,1,2023,4,2,0,959222,1.8483417628429983
280,3401,4,2,1,1929,1,3,1,922510,1.7209091946584305
281,2186,2,1,1,1907,2,1,1,106879,0.19843340741824161
282,3509,1,4,2,1997,3,3,1,169894,0.30478834192754783
283,654,1,4,1,1956,3,4,1,640127,1.1483822086304132
284,3037,1,4,3,2010,2,4,0,79756,0.14807637461100195
285,1909,5,4,2,1972,3,3,1,718043,1.28816282742582
286,4557,5,4,2,2014,2,4,1,230557,0.4280561299612415
287,1284,2,3,3,1919,3,1,1,279303,0.5010671257689494
288,3675,4,4,3,2003,2,4,1,454241,0.8433517287686962
289,4841,2,3,3,1924,1,3,0,724075,1.350735845814466
290,3306,3,2,1,1918,1,3,1,541599,1.0103334369468204
291,1037,1,4,3,1904,1,3,1,545283,1.017205806322894
292,2341,1,4,1,1974,1,2,0,667231,1.2446954101973304
293,2955,1,1,2,1978,3,3,1,792476,1.421694974851233
294,1024,2,2,2,1971,4,1,1,198188,0.3818919471137319
295,3450,2,4,3,1982,2,4,1,611032,1.1344526221388955
296,4631,1,4,1,1986,4,4,0,174697,0.33662672555819534
297,4615,2,2,3,1926,3,2,1,530795,0.9522415621118625
298,2868,5,3,3,1939,3,2,0,690360,1.2384997688741328
299,4347,5,4,1,1995,4,1,0,445340,0.8581334880397873
300,4995,2,1,3,1925,4,3,0,286028,0.5511523898977058
301,3201,1,4,2,1926,3,2,0,743411,1.3336727963359523
302,1471,2,1,3,1961,3,4,0,57176,0.1025732411859717
303,1666,2,1,1,1982,2,2,0,927742,1.7224619079988988
304,3274,2,4,1,1949,1,2,0,826653,1.5420914120085154
305,2482,3,4,2,1941,1,3,1,508034,0.9477191377861498
306,1353,5,1,1,1928,2,2,1,563611,1.0464099700446539
307,4646,4,2,1,1938,4,1,0,199748,0.3848979385839391
308,4236,4,2,2,1959,3,4,0,95177,0.17074670099967168
309,4269,3,4,3,1940,4,3,0,533512,1.0280336674699848
310,1074,2,3,2,1932,1,4,0,160623,0.299636424075209
311,3761,3,2,3,1982,1,1,0,575285,1.0731734572514935
312,1648,3,4,2,2000,4,1,0,502546,0.9683647367863721
313,2215,1,2,3,1982,1,2,1,546184,1.018886589386912
314,4354,5,3,2,1996,3,2,1,694467,1.2458676907565798
315,2991,4,4,3,2010,2,2,0,297439,0.5522304126074754
316,3160,2,3,2,1915,4,4,0,694691,1.3386123207882694
317,3624,4,4,3,1922,3,1,0,978735,1.7558419828626
318,3551,4,3,2,1906,3,3,1,145287,0.26064360032507117
319,504,5,2,1,1925,1,2,0,169574,0.31633419233938787
320,1376,4,2,3,1995,3,4,1,830751,1.4903599882553376
321,1491,4,3,2,1911,4,2,1,171509,0.3304837122203617
322,4642,3,3,3,1971,3,1,1,397591,0.7132747575271385
323,4864,5,3,3,1904,2,3,0,945954,1.7562746234612536
324,4965,1,4,2,2005,3,1,0,499181,0.895526324129959
325,1135,2,2,3,1991,3,4,1,393288,0.705555213368344
326,2193,4,4,2,2016,2,2,1,822793,1.5276117720962703
327,2182,2,2,1,1968,3,1,1,242589,0.435202532637185
328,619,1,1,3,1948,3,4,1,929125,1.666842079140128
329,1330,2,4,1,1925,1,2,0,406459,0.7582346319841204
330,4175,1,2,3,1904,4,3,1,538720,1.038069054378215
331,1869,3,2,3,1921,1,1,0,863819,1.611423247033258
332,1240,4,4,3,1978,4,2,1,54090,0.10422697347660685
333,616,1,4,2,1912,2,2,0,957278,1.7772989585093375
334,3338,2,2,1,1927,2,2,1,468161,0.8691958424978846
335,1650,4,4,3,1932,2,2,0,876671,1.6276426025202078
336,2431,3,3,2,2006,4,1,0,53743,0.10355833306624666
337,1512,4,4,3,1922,4,2,0,80924,0.15593388059938867
338,2164,1,4,2,1996,4,4,1,191268,0.3685576772587103
339,1581,3,4,3,2006,2,1,0,966592,1.7945914926525603
340,1012,2,2,1,1917,4,2,1,928247,1.7886554899009037
341,3349,3,3,1,2013,3,1,0,679600,1.219196423499132
342,1059,3,1,3,2016,1,4,0,381004,0.710749245863612
343,4172,5,1,2,1929,2,4,1,790537,1.4677247223513923
344,3843,3,3,3,1925,1,1,0,798378,1.4893454174079506
345,4570,3,3,2,1915,3,2,0,279602,0.5016035291395001
346,1970,4,3,3,1976,4,2,1,392543,0.756398019031756
347,1080,2,2,2,1938,1,4,0,885227,1.6513591003456856
348,2794,4,1,1,1932,3,2,0,887985,1.5930372809312487
349,3647,4,3,3,1925,3,4,0,558928,1.0027119167061842
350,4749,1,2,1,1947,1,2,0,153976,0.2872366848670762
351,2179,4,1,1,1964,2,4,1,205183,0.3809463209264408
352,4006,5,4,3,2012,1,3,0,687854,1.2831668742697424
353,3244,5,2,3,1937,2,2,0,307443,0.570804012732964
354,3856,1,1,2,1901,4,2,0,694256,1.3377741116283077
355,4545,2,2,2,2012,2,2,0,111600,0.20719849800125154
356,1743,2,1,1,1905,4,1,0,624310,1.2029939325416976
357,3618,4,1,2,1945,1,2,0,708559,1.321791306390156
358,2641,4,4,2,1949,4,1,0,887329,1.7098098751714566
359,3559,4,2,3,1937,3,1,0,874470,1.5687914897841169
360,3459,2,3,2,2005,4,4,1,173323,0.3339791407632821
361,2765,3,4,1,1987,2,1,1,236110,0.4383659261924328
362,2979,5,4,2,1917,2,1,1,694566,1.289543297157144
363,2135,3,1,1,1926,2,3,1,947486,1.7591189612653568
364,2257,3,3,3,1940,4,2,0,320041,0.616692638536268
365,4952,2,2,1,1971,2,1,0,638829,1.1860610150505513
366,2570,3,3,2,1991,2,2,1,156968,0.29142951464391087
367,3349,1,3,3,1973,3,1,1,589180,1.056983738665713
368,3751,4,3,2,1916,4,4,1,975775,1.8802380300265493
369,4230,1,3,3,2018,3,3,0,74815,0.13421745206604996
370,2989,5,3,3,1961,2,1,0,882044,1.6376182076255905
371,2131,4,1,2,1928,2,2,1,476573,0.8848137077773338
372,3316,3,1,2,1957,2,4,1,518304,0.9622922070612964
373,1515,5,4,3,1969,4,2,1,852699,1.6430807183680751
374,1848,4,1,3,1977,1,4,1,854700,1.5944120808170756
375,3587,3,4,2,1921,2,3,1,688751,1.278747067176165
376,3339,1,4,1,2017,2,4,0,981767,1.8227656611755798
377,835,4,2,2,1905,2,2,1,514151,0.9545816751419487
378,1395,3,3,3,1925,2,2,0,931779,1.7299570723038364
379,4046,1,1,2,1938,4,1,1,240732,0.46387072987558736
380,1351,5,2,1,1911,1,4,1,246599,0.4600215569409267
381,2187,5,1,2,1998,1,2,0,244451,0.4560145402688838
382,2431,5,4,3,1913,1,1,1,406686,0.758658092312125
383,4246,5,1,2,1921,2,3,0,746631,1.386208080297244
384,2927,2,3,3,1950,2,2,0,378756,0.7032049669261831
385,2068,4,4,3,1922,1,1,1,188307,0.3512799294517621
386,4500,4,4,2,1947,1,2,1,138757,0.25884618825077216
387,3238,2,2,3,1970,2,4,0,459633,0.8533626096040255
388,3998,3,3,3,2003,2,1,0,934507,1.7350219244772005
389,4413,3,4,1,1949,3,4,1,346753,0.6220718326038766
390,1566,5,3,1,1988,3,3,0,939217,1.6849470383896177
391,4880,1,1,1,1912,3,4,1,304200,0.5457321248211241
392,2944,3,3,1,1984,1,1,0,597933,1.1154224859239459
393,4607,1,4,3,2004,4,2,1,506089,0.9751918058754387
394,3873,4,2,2,1909,2,1,0,769918,1.429443128890032
395,4469,1,4,3,2016,3,4,0,374377,0.6716290456744181
396,3046,4,3,3,1954,4,4,1,423587,0.8162172492888791
397,1253,2,3,3,2022,2,2,0,204473,0.37962812259686296
398,2582,2,4,2,1908,4,3,0,844203,1.6267096263611007
399,3274,5,3,1,1978,1,1,0,517667,0.9656891524983423
400,3396,3,1,3,1951,1,2,0,522650,0.9749847596104418
401,4685,5,4,3,1901,1,2,0,510665,0.9526271735702024
402,1275,4,2,1,1924,3,2,0,414745,0.7440488826723771
403,2125,5,4,3,1912,2,1,0,535820,0.9948127168371917
404,3569,1,1,2,1997,1,1,1,445158,0.8304262233208937
405,917,4,1,3,1950,3,1,0,725748,1.3019855296669334
406,614,2,1,3,1957,3,3,0,961656,1.7252024070578005
407,1116,3,1,1,1933,3,2,1,657539,1.1796191835067624
408,4474,4,1,3,1934,3,4,0,631330,1.132600467992506
409,3767,4,2,3,2001,1,4,0,890172,1.6605838198257845
410,1325,1,3,2,1902,3,2,1,246945,0.44301715832988986
411,2016,3,1,1,2005,1,4,0,621312,1.159035168780413
412,3646,2,1,1,2019,1,3,0,728810,1.3595688178545606
413,912,4,4,2,1958,3,3,1,631253,1.132462330669655
414,1228,4,2,3,1969,1,1,1,322201,0.6010543662704372
415,3848,1,2,1,2018,2,1,0,798609,1.4827113377265366
416,3308,5,3,1,1947,2,1,0,845415,1.5696121701409325
417,1175,2,2,3,1963,4,1,1,442613,0.852878783719752
418,3965,3,4,3,2012,2,1,0,594283,1.1033561378824173
419,3004,4,4,1,1918,1,4,1,164587,0.30703112337128824
420,3467,4,3,3,1966,1,4,1,283076,0.5280680872696555
421,3286,2,4,1,1981,2,1,1,796988,1.4797017609768948
422,1622,5,1,3,2002,3,3,0,520897,0.9344846371563086
423,4579,4,1,3,1972,3,4,1,88886,0.1594607023236372
424,2071,2,4,2,2015,1,3,1,401169,0.7483663274240148
425,2643,1,3,3,1975,3,3,1,539788,0.9683749250261174
426,2187,5,2,2,1904,4,2,0,145149,0.2796901640442967
427,4632,3,3,3,1966,4,2,0,668308,1.2877744535071949
428,4351,4,2,1,1910,2,1,0,576961,1.0711958118754488
429,3940,2,4,1,2020,2,3,1,913945,1.6968461582056795
430,4266,1,4,3,1993,3,4,0,73466,0.13179735792935143
431,2826,3,1,3,1967,1,2,0,287626,0.5365559484697464
432,3414,2,2,1,1968,2,2,1,928977,1.724754830445418
433,4452,2,3,3,1900,4,3,1,559966,1.0790083459013058
434,1095,3,4,2,1990,2,2,0,624694,1.1598177285877582
435,1228,1,3,2,1991,2,2,0,446904,0.8297297271572699
436,1865,1,1,2,1962,4,4,1,643572,1.24011021952832
437,4992,5,2,2,1928,1,3,0,810006,1.5110370328001828
